class_name,activeClass_name,inactive_duration,active_duration,preamble,epilogue,repetitions
protocol,watch_check-pronated-dominant,,,Perform the all gestures in the following arm posture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/watch_check_pronated.png),,
REST,REST,500,4000,This is a rest gesture. Have a closed relaxed fist in the arm postion ![](https://storage.googleapis.com/pison_dataops/NGG_videos/watch_check_pronated.png),,1
Full Hand Extension Hold,FHEH,500,4000,Please perform the gesture and hold it for approximately 1 second ![](https://storage.googleapis.com/pison_dataops/NGG_videos/FHEH-watch_check-pronated.mp4),,10
Full Hand Extension Activation,FHEA,500,2000,Please perform the gesture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/FHEA-watch_check-pronated.mp4),,10
Index Extension Hold,INEH,500,4000,Please perform the gesture and hold it for approximately 1 second ![](https://storage.googleapis.com/pison_dataops/NGG_videos/INEH-watch_check-pronated.mp4),,10
Index Extension Activation,INEA,500,2000,Please perform the gesture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/INEA-watch_check-pronated.mp4),,10
Thumb Extension Hold,TEH,500,4000,Please perform the gesture and hold it for approximately 1 second ![](https://storage.googleapis.com/pison_dataops/NGG_videos/TEH-watch_check-pronated.mp4),,10
Thumb Extension Activation,TEA,500,2000,Please perform the gesture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/TEA-watch_check-pronated.mp4),,10
Stateful Pinch,SPINCH,500,4000,Please perform the gesture and hold it for approximately 1 second ![](https://storage.googleapis.com/pison_dataops/NGG_videos/SPINCH-watch_check-pronated.mp4),,10
Pinch,PINCH,500,2000,Please perform the gesture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/PINCH-watch_check-pronated.mp4),,10
Money,MONEY,500,2000,Please perform the gesture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/MONEY-watch_check-pronated.mp4),,10
protocol,virtual_touchscreen-pronated-dominant,,,Perform the all gestures in the following arm posture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/virtual_touchscreen-pronated.png),,
REST,REST,500,4000,This is a rest gesture. Have a closed relaxed fist in the arm postion ![](https://storage.googleapis.com/pison_dataops/NGG_videos/virtual_touchscreen-pronated.png),,1
Full Hand Extension Hold,FHEH,500,4000,Please perform the gesture and hold it for approximately 1 second ![](https://storage.googleapis.com/pison_dataops/NGG_videos/FHEH-virtual_touchscreen-pronated.mp4),,10
Full Hand Extension Activation,FHEA,500,2000,Please perform the gesture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/FHEA-virtual_touchscreen-pronated.mp4),,10
Index Extension Hold,INEH,500,4000,Please perform the gesture and hold it for approximately 1 second ![](https://storage.googleapis.com/pison_dataops/NGG_videos/INEH-virtual_touchscreen-pronated.mp4),,10
Index Extension Activation,INEA,500,2000,Please perform the gesture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/INEA-virtual_touchscreen-pronated.mp4),,10
Thumb Extension Hold,TEH,500,4000,Please perform the gesture and hold it for approximately 1 second ![](https://storage.googleapis.com/pison_dataops/NGG_videos/TEH-virtual_touchscreen-pronated.mp4),,10
Thumb Extension Activation,TEA,500,2000,Please perform the gesture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/TEA-virtual_touchscreen-pronated.mp4),,10
Stateful Pinch,SPINCH,500,4000,Please perform the gesture and hold it for approximately 1 second ![](https://storage.googleapis.com/pison_dataops/NGG_videos/SPINCH-virtual_touchscreen-pronated.mp4),,10
Pinch,PINCH,500,2000,Please perform the gesture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/PINCH-virtual_touchscreen-pronated.mp4),,10
Money,MONEY,500,2000,Please perform the gesture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/MONEY-virtual_touchscreen-pronated.mp4),,10
protocol,virtual_touchscreen-semipronated-dominant,,,Perform the all gestures in the following arm posture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/virtual_touchscreen-semi_pronated.png),,
REST,REST,500,4000,This is a rest gesture. Have a closed relaxed fist in the arm postion ![](https://storage.googleapis.com/pison_dataops/NGG_videos/virtual_touchscreen-semi_pronated.png),,1
Full Hand Extension Hold,FHEH,500,4000,Please perform the gesture and hold it for approximately 1 second ![](https://storage.googleapis.com/pison_dataops/NGG_videos/FHEH-virtual_touchscreen-semi_pronated.mp4),,10
Full Hand Extension Activation,FHEA,500,2000,Please perform the gesture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/FHEA-virtual_touchscreen-semi_pronated.mp4),,10
Index Extension Hold,INEH,500,4000,Please perform the gesture and hold it for approximately 1 second ![](https://storage.googleapis.com/pison_dataops/NGG_videos/INEH-virtual_touchscreen-semi_pronated.mp4),,10
Index Extension Activation,INEA,500,2000,Please perform the gesture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/INEA-virtual_touchscreen-semi_pronated.mp4),,10
Thumb Extension Hold,TEH,500,4000,Please perform the gesture and hold it for approximately 1 second ![](https://storage.googleapis.com/pison_dataops/NGG_videos/TEH-virtual_touchscreen-semi_pronated.mp4),,10
Thumb Extension Activation,TEA,500,2000,Please perform the gesture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/TEA-virtual_touchscreen-semi_pronated.mp4),,10
Stateful Pinch,SPINCH,500,4000,Please perform the gesture and hold it for approximately 1 second ![](https://storage.googleapis.com/pison_dataops/NGG_videos/SPINCH-virtual_touchscreen-semi_pronated.mp4),,10
Pinch,PINCH,500,2000,Please perform the gesture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/PINCH-virtual_touchscreen-semi_pronated.mp4),,10
Money,MONEY,500,2000,Please perform the gesture ![](https://storage.googleapis.com/pison_dataops/NGG_videos/MONEY-virtual_touchscreen-semi_pronated.mp4),,10
